,0
0,3.215132755613745
1,0.1431872566595061
2,-1.1880891387464174
3,1.1392810941244866
4,-1.0037057151734126
5,-1.165307278321742
6,-1.3669337954459493
7,-1.9683206661421637
8,-2.8003649204790038
9,-4.199483867999211
10,-2.454651667093684
11,-2.4871474098842503
12,-2.498970452052655
13,-2.5210229240251945
14,-2.532277655394293
15,-2.5543791081763922
16,-2.576039462750387
17,-2.592856780151001
18,-2.696457608668754
19,-2.8423553955754985
20,-2.8390398868501974
21,-2.8450498866526623
22,-2.8596531902415085
23,-3.9692620636332845
24,-4.563361016456412
25,-3.781460952931316
26,-3.4052725556223065
27,-3.3623497771368247
28,-3.3676855194229938
29,-3.3682018532450337
30,-3.259471717475465
31,-3.2673320271140454
32,-3.244113432124725
33,-3.250430836466556
34,-3.242153692761662
35,-3.2923451804269868
36,-3.3078609131240855
37,-3.3297718865100654
38,-3.354452733503145
39,-3.1105496919994655
40,-3.0935288118642936
41,-3.0990805160713304
42,-3.101830099490839
43,-3.091811516061082
44,-3.0953825348692896
45,-3.09995772587744
46,-3.105152074717146
47,-3.055201349222961
48,-3.063129407081345
49,-3.0665499151073194
50,-3.075167715335204
51,-4.760752912679142
52,-3.906855219748864
53,-3.7453185779014557
54,-3.7035483101327444
55,-3.718044322256648
56,-3.7747073466478938
57,-3.8452888323187824
58,-3.908319693265954
59,-3.961711477365534
60,-4.001449614620168
61,-3.992364681710078
62,-3.8925561839064593
63,-3.775958858348118
64,-3.71438554778976
65,-3.690616877890934
66,-3.6879411653508156
67,-7.1035640864608265
68,-3.6190287889150228
69,-3.6184959602427096
70,-7.990004156162392
71,-3.5829169385237214
72,-3.322491796556569
73,-6.612968436218352
74,-6.5491229293041755
75,-6.628302141208844
76,-3.5816619360920687
77,-4.920589062511848
78,-4.625805986725975
79,-4.391152850562678
80,-4.208199871132215
81,-4.073682507661687
82,-5.631287140304246
83,-3.8623720962282397
84,-5.25551773563266
85,-6.3254646310650715
86,-3.683032466054801
87,-3.5979481398410083
88,-6.124939832519953
89,-3.6003405567628493
90,-3.5663300686432327
91,-3.5026909618762834
92,-5.9651327858025285
93,-3.4522224459252193
94,-3.4928154640065525
95,-3.4426799130403936
96,-3.435622684490775
97,-8.736765962481229
98,-3.358816835965064
99,-3.3133953998584724
