,BO_iter,\theta_1,\theta_2,EI,ln(SSE),Var,StDev,Best_Error,z,CDF,PDF,ei_term_1,ei_term_2
1,1,-1.9963182210922241,-1.9954113960266113,0.00871672332901071,2.716193977135911,0.5547207140108859,0.7447957532175421,1.3174994,-1.8779572411742733,0.030193507370256095,0.06840562416878097,-0.042231495048092614,0.050948218377103324
2,1,-1.9963182210922241,-1.7854450815602352,0.005520628825930525,2.8491243801987842,0.5575359745154898,0.7466833160821861,1.3174994,-2.0512377175506895,0.020121901233949996,0.0486683372169212,-0.030819206595406268,0.03633983542133679
3,1,-1.9963182210922241,-1.5754787670938593,0.0045636671195984045,2.9268436418292905,0.5733062719653569,0.7571699095746983,1.3174994,-2.1254730573591827,0.01677357994674028,0.041679061775106385,-0.026994464315817163,0.03155813143541557
4,1,-1.9963182210922241,-1.365512452627483,0.0037791478538113585,2.9815460431480236,0.5756235804241516,0.7586986097418076,1.3174994,-2.193290751553023,0.014143218778562826,0.03600128331117721,-0.02353497574329973,0.02731412359711109
5,1,-1.9963182210922241,-1.1555461381611072,0.0024020339042506063,3.048942016336956,0.5471476164268296,0.7396942722685026,1.3174994,-2.340754392813896,0.009622411288223954,0.025771034876317503,-0.01666065298419327,0.019062686888443876
6,1,-1.9963182210922241,-0.945579823694731,0.0009229874230531733,3.1564029261819817,0.4881085802992128,0.6986476796635145,1.3174994,-2.6320899367796673,0.004243069768306949,0.012489246925558774,-0.007802595962233147,0.00872558338528632
7,1,-1.9963182210922241,-0.7356135092283549,0.00015609789408148377,3.3180913571108412,0.40978195094721875,0.6401421333947788,1.3174994,-3.1252308722692463,0.0008883277951901633,0.0030200782549466947,-0.001777181443059274,0.0019332793371407578
8,1,-1.9963182210922241,-0.525647194761979,5.726215708211539e-06,3.537273284985168,0.32050537484842,0.5661319412013599,1.3174994,-3.9209479703433043,4.410065351977935e-05,0.00018303099895449268,-9.789347902991948e-05,0.00010361969473813102
9,1,-1.9963182210922241,-0.3156808802956028,6.122475130658097e-09,3.810791395618251,0.224765351342193,0.4740942431017202,1.3174994,-5.259064063129991,7.23952225337304e-08,3.9364515973242367e-07,-1.8050242892334106e-07,1.8662490405399916e-07
10,1,-1.9963182210922241,-0.10571456582922667,6.446050489323432e-16,4.128346429495941,0.1364328906991977,0.36936823184892026,1.3174994,-7.609877590827731,1.3717782078760713e-14,1.0613579806587706e-13,-3.8558587018534714e-14,3.9203192067467057e-14
11,1,-1.9963182210922241,0.10425174863714926,1.4931270478455645e-35,4.465583085298592,0.06795084778546313,0.2606738341020501,1.3174994,-12.076715321112673,7.010479837582388e-34,8.523636440090987e-33,-2.206957720852011e-33,2.2218889913304667e-33
12,1,-1.9963182210922241,0.3142180631035254,2.962727388306489e-149,4.779524787825489,0.018019829602623712,0.13423795887387335,1.3174994,-25.79021178274277,5.709122654815736e-147,1.4746018948571291e-145,-1.9765127577833636e-146,1.97947548517167e-146
13,1,-1.9963182210922241,0.5241843775699015,3.851067492394121e-304,5.0199642781609635,0.009959715916712852,0.09979837632302868,1.3174994,-37.09945006511525,1.4336870896121171e-301,5.32275910684982e-300,-5.308176096729869e-301,5.312027164222263e-301
14,1,-1.9963182210922241,0.7341506920362777,2.0408987222637857e-68,5.1640017782459395,0.05007045714489422,0.22376428925298653,1.3174994,-17.189974289024853,1.5783614735592685e-66,2.7223200675238695e-65,-6.071171163063571e-66,6.091580150286209e-66
15,1,-1.9963182210922241,0.9441170065026534,3.810003142643592e-44,5.213285894052769,0.08197706575069164,0.2863163735288145,1.3174994,-13.606579487063534,1.829877380806603e-42,2.5031441724778643e-41,-7.128811587410039e-42,7.166911618836475e-42
16,1,-1.9963182210922241,1.1540833209690295,6.183727097491454e-46,5.155228327890049,0.07622333360832369,0.2760857359740334,1.3174994,-13.90049694224629,3.1451554385124404e-44,4.394320206303091e-43,-1.2070254011652637e-43,1.2132091282627551e-43
17,1,-1.9963182210922241,1.3640496354354057,1.108597476434223e-39,4.960576888531842,0.08053724836931886,0.2837908532164468,1.3174994,-12.837191361372357,5.074503346102367e-38,6.55330094210572e-37,-1.8486808909799848e-37,1.859766865744327e-37
18,1,-1.9963182210922241,1.5740159499017818,1.2964041682052023e-18,4.618053651732846,0.1554171491693989,0.39422981770713245,1.3174994,-8.37215782343384,2.828630303588371e-17,2.4010584103626157e-16,-9.336047777393792e-17,9.465688194214312e-17
19,1,-1.9963182210922241,1.783982264368158,9.860847010234394e-09,4.158208566991462,0.2985409701170989,0.546389028181477,1.3174994,-5.199059683282607,1.001496046746057e-07,5.387310725130343e-07,-2.8449590015132724e-07,2.9435674716156164e-07
20,1,-1.9963182210922241,1.9939485788345337,6.159915297560979e-05,3.631654336828546,0.4661055974756519,0.6827192669579876,1.3174994,-3.3896142230680173,0.00034995521737456636,0.0012764393644549748,-0.0008098505942414101,0.0008714497472170199
21,1,-1.7860478413732428,-1.9954113960266113,0.00013729552564723294,3.2394908325193947,0.37289265146097256,0.6106493686731957,1.3174994,-3.1474550403781976,0.0008234921604706965,0.002816739837506191,-0.0015827448778425626,0.0017200404034897955
22,1,-1.7860478413732428,-1.7854450815602352,7.926164131460273e-05,3.3710204915065507,0.3872779850362139,0.6223166276391897,1.3174994,-3.2998010998220866,0.00048376687411717383,0.0017236999196854575,-0.0009934254797659935,0.0010726871210805962
23,1,-1.7860478413732428,-1.5754787670938593,0.00011066311238890026,3.4190634011558654,0.4250402107495226,0.6519510800278826,1.3174994,-3.223499532941651,0.0006331725251764889,0.0022107727749680916,-0.001330652585947786,0.0014413156983366863
