,0
0,3.3680127309951287
1,3.7817558051181837
2,3.7817558051181837
3,3.7817558051181837
4,3.7817558051181837
5,3.7817558051181837
6,3.7817558051181837
7,3.7657965337130714
8,1.3991565073175443
9,1.3982528774024232
10,0.03553158891731466
11,0.2211207968255421
12,-1.198765605095432
13,-1.0258335898619262
14,-0.9797909314053476
15,-1.0508630224393007
16,-1.623047917549578
17,-1.624808231294975
18,-1.5873908450154541
19,-1.5799332374157349
20,-1.5520141364318085
21,-1.5376969689347508
22,-1.5381331175351287
23,-1.5308176117658632
24,-1.5293752364477395
25,-1.5269754302470049
26,-1.5225801643297157
27,-1.946680362551995
28,-2.6948960475441663
29,-2.6824182209631453
30,-2.7554245946843956
31,-0.8999485498768799
32,-3.285197589547475
33,-3.0888979695964873
34,-4.621286016013776
35,-4.250349860954759
36,-4.353672411524269
37,-4.351691979540783
38,-4.651342151491108
39,-4.583919183017841
40,-4.58438435203758
41,-4.602880348952466
42,-4.598586845881684
43,-4.684727917445966
44,-4.711156313396017
45,-4.686369928051138
46,-5.23130163042895
47,-4.036771344092701
48,-5.427467055673562
49,-5.33470160338734
50,-3.827322521850903
51,-5.377202479443622
52,-3.8349858079818633
53,-5.68920178041149
54,-3.8212692465296225
55,-5.925529852703435
56,-3.808216373484606
57,-6.337714874500978
58,-3.791128732044221
59,-6.666880259476671
60,-3.8119239722697142
61,-6.929849925982874
62,-6.901778387887443
63,-3.7945882559718003
64,-6.907846493967632
65,-3.772923329979248
66,-6.888976207310851
67,-6.961436222880466
68,-3.772581316517748
69,-6.530977880645462
70,-7.035885107434202
71,-3.8562049613727756
72,-7.015043512319096
73,-7.037772902226419
74,-3.760455107527343
75,-7.088777101511885
76,-3.758041984307005
77,-7.034913447827129
78,-7.06609693394243
79,-3.7356864217461543
80,-7.113499047041517
81,-3.726939163277857
82,-6.290618263779639
83,-3.717361676973237
84,-4.583855064459591
85,-4.248435235814296
86,-4.630378552364022
87,-4.609172230021403
88,-4.576673160756918
89,-6.7962765773675144
90,-6.458944970444855
91,-5.87103409491611
92,-5.3637089654547525
93,-4.651023050502946
94,-4.395531797788581
95,-4.6833859591729095
96,-4.224606545209513
97,-4.406423396679153
98,-4.74396507323153
99,-4.2403803345740245
