,Run Number,BO Iter,Best Error,Exploration Bias,Max EI,Theta Max EI,Min Obj,Min Obj Act,Theta Min Obj,Min Obj Cum.,Theta Min Obj Cum.,Time/Iter,Sep Fact,BO Method,Max Evals,Total Run Time
0,0,0,9.650632465771888,1.0,0.0,[-1.89703819 -1.59614744],2.2333684696156366,0.16606023107997675,[ 1.10028853 -1.04388566],0.16606023107997675,[ 1.10028853 -1.04388566],0.5867581367492676,0.5,C2,6,3.5205488204956055
1,0,1,9.650632465771888,0.99,124.58386817671067,[ 1.05608166 -1.04244322],2.2362232079816575,0.16800222773802911,[ 1.10010318 -1.04465415],0.16606023107997675,[ 1.10028853 -1.04388566],0.5667173862457275,0.5,C2,6,3.4003043174743652
2,0,2,0.0927000348813659,0.98,1.5528540502640809,[ 0.98431111 -0.99633383],0.00010820591035459463,0.0034100764329059825,[ 0.98322001 -0.99581883],0.0034100764329059825,[ 0.98322001 -0.99581883],0.46924901008605957,0.5,C2,6,2.8154940605163574
3,0,3,0.0029184013023545036,0.97,0.039327699397674776,[ 0.99839574 -0.99948281],4.257243906735914e-07,4.133540587836783e-05,[ 0.99830875 -0.99938806],4.133540587836783e-05,[ 0.99830875 -0.99938806],0.6370079517364502,0.5,C2,6,3.822047710418701
4,0,4,3.483104370208536e-05,0.96,0.0,[ 0.98431111 -0.99633383],1.0344740848986827e-07,1.269431574376884e-05,[ 0.99908154 -0.99964609],1.269431574376884e-05,[ 0.99908154 -0.99964609],0.4770650863647461,0.5,C2,6,2.8623905181884766
5,0,5,3.483104370208536e-05,0.95,0.0,[-1.89703819 -1.59614744],1.9559077783664941e-07,9.474449352252528e-07,[ 1.00005275 -0.99983554],9.474449352252528e-07,[ 1.00005275 -0.99983554],0.543342113494873,0.5,C2,6,3.2600526809692383
6,1,0,9.650632465771888,1.0,0.0,[1.13405366 1.44231426],2.233366637022213,0.16605967554921403,[ 1.10028826 -1.04388566],0.16605967554921403,[ 1.10028826 -1.04388566],0.4352912902832031,0.5,C2,6,2.6117477416992188
7,1,1,9.650632465771888,0.99,124.67280313688275,[ 1.05662978 -1.04165769],2.230878225469196,0.16684586254029843,[ 1.10072927 -1.04385203],0.16605967554921403,[ 1.10028826 -1.04388566],0.49978017807006836,0.5,C2,6,2.99868106842041
8,1,2,0.09107166198536827,0.98,1.5251662607431058,[ 0.98414394 -0.99631784],0.00011272993429772995,0.0034699584907030095,[ 0.98304937 -0.99581066],0.0034699584907030095,[ 0.98304937 -0.99581066],0.4809877872467041,0.5,C2,6,2.8859267234802246
9,1,3,0.002975127385080598,0.97,0.04031611360371179,[ 0.99832716 -0.99947545],5.07762507941571e-07,4.404924881714719e-05,[ 0.99823785 -0.99938172],4.404924881714719e-05,[ 0.99823785 -0.99938172],0.5616307258605957,0.5,C2,6,3.369784355163574
10,1,4,3.733935439217782e-05,0.96,0.0,[-0.90236432  1.00990726],1.2452632838207294e-07,1.3560549314032512e-05,[ 0.99904046 -0.99964217],1.3560549314032512e-05,[ 0.99904046 -0.99964217],0.3889789581298828,0.5,C2,6,2.333873748779297
11,1,5,3.733935439217782e-05,0.95,0.0,[-0.00047375 -0.00029202],1.2718006277240004e-07,1.3599375941102464e-05,[ 0.99903943 -0.99964139],1.3560549314032512e-05,[ 0.99904046 -0.99964217],0.4081268310546875,0.5,C2,6,2.448760986328125
12,2,0,9.650632465771888,1.0,0.0,[-1.69186718 -1.81246992],2.233366637024448,0.16605902119436017,[ 1.10028773 -1.04388579],0.16605902119436017,[ 1.10028773 -1.04388579],0.43093419075012207,0.5,C2,6,2.5856051445007324
13,2,1,9.650632465771888,0.99,124.69677567501572,[ 1.05661015 -1.04132655],2.2293818420302363,0.16583796037365453,[ 1.10072833 -1.04351335],0.16583796037365453,[ 1.10072833 -1.04351335],0.5368168354034424,0.5,C2,6,3.2209010124206543
14,2,2,0.0901151392921513,0.98,1.5090112891861693,[ 0.98415888 -0.99633146],0.0001125787020372636,0.0034592431404444155,[ 0.98306525 -0.99582943],0.0034592431404444155,[ 0.98306525 -0.99582943],0.463700532913208,0.5,C2,6,2.782203197479248
15,2,3,0.002966989306276922,0.97,0.040190274715652397,[ 0.99830485 -0.99947469],5.121802320708739e-07,4.490788279354512e-05,[ 0.998214   -0.99938141],4.490788279354512e-05,[ 0.998214   -0.99938141],0.543083906173706,0.5,C2,6,3.2585034370422363
16,2,4,3.8117599767557465e-05,0.96,0.0,[-0.12469795  1.84466338],1.2346233079228323e-07,1.381715820930478e-05,[ 0.99902713 -0.99964221],1.381715820930478e-05,[ 0.99902713 -0.99964221],0.43688416481018066,0.5,C2,6,2.621304988861084
17,2,5,3.8117599767557465e-05,0.95,0.0,[ 1.05661015 -1.04132655],1.218846768167359e-07,1.3797827875357274e-05,[ 0.99902777 -0.99964249],1.3797827875357274e-05,[ 0.99902777 -0.99964249],0.467257022857666,0.5,C2,6,2.803542137145996
18,3,0,9.650632465771888,1.0,0.0,[ 0.37116808 -1.78972989],2.233366637022213,0.16605967554921403,[ 1.10028826 -1.04388566],0.16605967554921403,[ 1.10028826 -1.04388566],0.40727996826171875,0.5,C2,6,2.4436798095703125
19,3,1,9.650632465771888,0.99,124.6471678356379,[ 1.056211   -1.04166414],2.232479356618184,0.1659475904407721,[ 1.10025829 -1.04386823],0.1659475904407721,[ 1.10025829 -1.04386823],0.47232580184936523,0.5,C2,6,2.8339548110961914
20,3,2,0.0906173652396489,0.98,1.517517272039683,[ 0.9842314  -0.99628237],0.00011260998564434081,0.0034496066369206946,[ 0.98313938 -0.99577542],0.0034496066369206946,[ 0.98313938 -0.99577542],0.4434380531311035,0.5,C2,6,2.660628318786621
21,3,3,0.002956392056206494,0.97,0.040002783871379455,[ 0.99833107 -0.99946583],5.578465255377132e-07,4.4331273202782e-05,[ 0.99824143 -0.99937208],4.4331273202782e-05,[ 0.99824143 -0.99937208],0.5383784770965576,0.5,C2,6,3.2302708625793457
22,3,4,3.755473157392774e-05,0.96,0.0,[1.13405366 1.44231426],1.4261761254580263e-07,1.3668057988153886e-05,[ 0.99904213 -0.99963648],1.3668057988153886e-05,[ 0.99904213 -0.99963648],0.3572816848754883,0.5,C2,6,2.1436901092529297
23,3,5,3.755473157392774e-05,0.95,0.0,[ 0.9842314  -0.99628237],1.4593138078706988e-07,1.367777432090339e-05,[ 0.9990422  -0.99963603],1.3668057988153886e-05,[ 0.99904213 -0.99963648],0.3750591278076172,0.5,C2,6,2.250354766845703
24,4,0,9.650632465771888,1.0,0.0,[ 0.37116808 -1.78972989],2.233366637022213,0.16605967554921403,[ 1.10028826 -1.04388566],0.16605967554921403,[ 1.10028826 -1.04388566],0.39587974548339844,0.5,C2,6,2.3752784729003906
25,4,1,9.650632465771888,0.99,124.6471678356379,[ 1.056211   -1.04166414],2.232479356618184,0.1659475904407721,[ 1.10025829 -1.04386823],0.1659475904407721,[ 1.10025829 -1.04386823],0.4556107521057129,0.5,C2,6,2.7336645126342773
26,4,2,0.0906173652396489,0.98,1.517517272039683,[ 0.9842314  -0.99628237],0.00011260998564434081,0.0034496066369206946,[ 0.98313938 -0.99577542],0.0034496066369206946,[ 0.98313938 -0.99577542],0.42888712882995605,0.5,C2,6,2.5733227729797363
27,4,3,0.002956392056206494,0.97,0.040002783871379455,[ 0.99833107 -0.99946583],5.578456398170099e-07,4.4317317024374515e-05,[ 0.99824171 -0.99937218],4.4317317024374515e-05,[ 0.99824171 -0.99937218],0.5172796249389648,0.5,C2,6,3.103677749633789
28,4,4,3.755473157392774e-05,0.96,0.0,[1.13405366 1.44231426],1.4261722086678172e-07,1.3663595399105782e-05,[ 0.99904237 -0.99963648],1.3663595399105782e-05,[ 0.99904237 -0.99963648],0.4126124382019043,0.5,C2,6,2.475674629211426
29,4,5,3.755473157392774e-05,0.95,0.0,[ 0.9842314  -0.99628237],1.4593138078706988e-07,1.367777432090339e-05,[ 0.9990422  -0.99963603],1.3663595399105782e-05,[ 0.99904237 -0.99963648],0.4504969120025635,0.5,C2,6,2.702981472015381
30,5,0,9.650632465771888,1.0,0.0,[-0.64069105 -1.25246267],2.233366637022213,0.16605967554921403,[ 1.10028826 -1.04388566],0.16605967554921403,[ 1.10028826 -1.04388566],0.46996259689331055,0.5,C2,8,3.7597007751464844
31,5,1,9.650632465771888,0.99,124.6684111636755,[ 1.05559786 -1.04021099],2.2310179602603037,0.16040303662828845,[ 1.09967489 -1.04237515],0.16040303662828845,[ 1.09967489 -1.04237515],0.5643160343170166,0.5,C2,8,4.514528274536133
32,5,2,0.08588663605165585,0.98,0.10964516892074613,[ 1.05560199 -1.04021519],0.00011279613376211314,0.003384837573218924,[ 0.98326873 -0.99585029],0.003384837573218924,[ 0.98326873 -0.99585029],0.5827412605285645,0.5,C2,8,4.661930084228516
33,5,3,0.08588663605165585,0.97,1.4254570888808686,[ 0.983601   -0.99627784],0.0001280485869220651,0.0036801677190937206,[ 0.98246508 -0.99578018],0.003384837573218924,[ 0.98326873 -0.99585029],0.8752212524414062,0.5,C2,8,7.00177001953125
34,5,4,0.0031603252325836193,0.96,0.0,[-1.69186718 -1.81246992],1.9024617264238168e-06,9.064951852585361e-05,[ 0.99734249 -0.99923254],9.064951852585361e-05,[ 0.99734249 -0.99923254],0.6495873928070068,0.5,C2,8,5.196699142456055
35,5,5,0.0031603252325836193,0.95,0.023475425599695454,[ 0.98140292 -0.99943731],1.872905898141873e-06,9.059425462113996e-05,[ 0.99734239 -0.9992337 ],9.059425462113996e-05,[ 0.99734239 -0.9992337 ],1.126209020614624,0.5,C2,8,9.009672164916992
36,5,6,0.0031603252325836193,0.94,0.0,[ 0.07739934 -1.18345954],1.0462670583623016e-07,5.506279198393435e-06,[ 0.99955102 -0.99967959],5.506279198393435e-06,[ 0.99955102 -0.99967959],0.7086265087127686,0.5,C2,8,5.669012069702148
