,Theta_1,Theta_2,X Coord,y-value
0,-1.5740498407940169,-1.6573634418175112,0.0,4.388173108647359
1,1.6793703699896874,-1.9555068165840357,0.0,3.5701531182731157
2,-0.5432149259207131,0.41692397590189856,0.0,4.524115535704761
3,1.0279212701634228,1.4163524741902478,0.0,5.293701338667248
4,-1.6053175468935195,0.9125503999740983,0.0,5.259408282801996
5,1.5030111346045425,-0.6130308394740216,0.0,2.050321291299808
6,-0.20112521013587847,-0.16612428739425122,0.0,3.6406226197892813
7,0.20333955114276492,1.243078029465464,0.0,5.180825705429656
8,0.1368793020043455,-0.9410667409178908,0.0,2.0120757119799895
9,-1.2598362146396493,0.05185030342485053,0.0,4.4847577770293805
10,0.5440505560503426,-1.1565181830656264,0.0,1.037625553065909
11,-1.1975481493789153,-0.39724770985604785,0.0,4.102969781802487
12,-1.976572513399335,0.2174379896432166,0.0,4.933860135339823
13,-0.9416413828206345,0.6891006245472981,0.0,4.9042098786608115
14,1.8153523583859559,-1.2179461559708624,0.0,2.1176675458422873
15,-0.6740263090280014,1.6788122112981476,0.0,5.607338761401189
16,0.704454020616263,1.0414284239005545,0.0,4.962813268848823
17,1.360982721304191,1.9875493005166676,0.0,5.721921531597452
18,-0.025303681447983895,-1.5925563169834325,0.0,3.0998290753259945
19,0.973445092554114,-0.44521966547263436,0.0,2.3604104408077453
