,Theta 1,Theta 2,Obj Value
count,20.0,20.0,20.0
mean,-0.002491469882150854,-0.02437482123369351,100.93228216477905
std,1.1864038390983953,1.1809276459439062,91.76641162605503
min,-1.976572513399335,-1.955506816584036,2.822507157937463
25%,-1.0056180744602046,-0.9949296014548247,19.294442896899405
50%,0.05578781027818085,-0.05713699198470035,84.57435300208607
75%,0.9870641369564412,0.9447699059557124,151.70403285214445
max,1.815352358385956,1.987549300516668,305.4913706590398
