,Theta 1,Theta 2,Obj Value
count,20.0,20.0,20.0
mean,-0.002491469882150854,-0.02437482123369351,3.9626400231157555
std,1.1864038390983953,1.1809276459439062,1.4020067560627123
min,-1.976572513399335,-1.955506816584036,1.037625553065909
25%,-1.0056180744602046,-0.9949296014548247,2.914974416696432
50%,0.05578781027818085,-0.05713699198470035,4.43646544283837
75%,0.9870641369564412,0.9447699059557124,5.017316377994031
max,1.815352358385956,1.987549300516668,5.721921531597452
