a_1,a_2,a_3,a_4,x_1,x_2,V,V_scaled
-1.3023643249400514,-1.1900927392651872,-2.0720798063598167,-1.7897298894274487,-1.5,-0.5,72.25022524890137,17.798484683954243
-1.3023643249400514,-1.1900927392651872,-2.0720798063598167,-1.7897298894274487,-1.5,0.125,-345.3385151758016,17.798476904183754
-1.3023643249400514,-1.1900927392651872,-2.0720798063598167,-1.7897298894274487,-1.5,0.75,-2109.2737460047915,17.798444041012893
-1.3023643249400514,-1.1900927392651872,-2.0720798063598167,-1.7897298894274487,-1.5,1.375,-67.03784504611107,17.79848208899345
-1.3023643249400514,-1.1900927392651872,-2.0720798063598167,-1.7897298894274487,-1.5,2.0,14.287896123550404,17.798483604106863
-1.3023643249400514,-1.1900927392651872,-2.0720798063598167,-1.7897298894274487,-0.875,-0.5,62.795004879833776,17.798484507802065
-1.3023643249400514,-1.1900927392651872,-2.0720798063598167,-1.7897298894274487,-0.875,0.125,11.56598961427192,17.798483553397283
-1.3023643249400514,-1.1900927392651872,-2.0720798063598167,-1.7897298894274487,-0.875,0.75,-78.9510090794488,17.79848186704883
-1.3023643249400514,-1.1900927392651872,-2.0720798063598167,-1.7897298894274487,-0.875,1.375,-175.65280838095654,17.798480065473257
-1.3023643249400514,-1.1900927392651872,-2.0720798063598167,-1.7897298894274487,-0.875,2.0,28.480902370120024,17.798483868524926
-1.3023643249400514,-1.1900927392651872,-2.0720798063598167,-1.7897298894274487,-0.25,-0.5,11.33190254459192,17.798483549036202
-1.3023643249400514,-1.1900927392651872,-2.0720798063598167,-1.7897298894274487,-0.25,0.125,-38.78735667368615,17.798482615305467
-1.3023643249400514,-1.1900927392651872,-2.0720798063598167,-1.7897298894274487,-0.25,0.75,-45.15694824569793,17.798482496638776
-1.3023643249400514,-1.1900927392651872,-2.0720798063598167,-1.7897298894274487,-0.25,1.375,-88.5611718815874,17.798481688009552
-1.3023643249400514,-1.1900927392651872,-2.0720798063598167,-1.7897298894274487,-0.25,2.0,-99.0032618231549,17.798481493471265
-1.3023643249400514,-1.1900927392651872,-2.0720798063598167,-1.7897298894274487,0.375,-0.5,-9.161561597114137,17.798483167239418
-1.3023643249400514,-1.1900927392651872,-2.0720798063598167,-1.7897298894274487,0.375,0.125,-123.16326720746842,17.79848104336524
-1.3023643249400514,-1.1900927392651872,-2.0720798063598167,-1.7897298894274487,0.375,0.75,-45.279488492811765,17.79848249435583
-1.3023643249400514,-1.1900927392651872,-2.0720798063598167,-1.7897298894274487,0.375,1.375,-8.712338611144446,17.79848317560852
-1.3023643249400514,-1.1900927392651872,-2.0720798063598167,-1.7897298894274487,0.375,2.0,-840.5736995231999,17.798467677764407
-1.3023643249400514,-1.1900927392651872,-2.0720798063598167,-1.7897298894274487,1.0,-0.5,-16.409063337645964,17.79848303221717
-1.3023643249400514,-1.1900927392651872,-2.0720798063598167,-1.7897298894274487,1.0,0.125,-178.51665837394617,17.79848001211906
-1.3023643249400514,-1.1900927392651872,-2.0720798063598167,-1.7897298894274487,1.0,0.75,-16.994562810064668,17.79848302130921
-1.3023643249400514,-1.1900927392651872,-2.0720798063598167,-1.7897298894274487,1.0,1.375,-0.17863687719916488,17.798483334592877
-1.3023643249400514,-1.1900927392651872,-2.0720798063598167,-1.7897298894274487,1.0,2.0,-1210.216335308251,17.798460791126402
1.1376337095979028,-0.2846652897945152,-1.4138512969102202,-1.4818398272738322,-1.5,-0.5,-20023.36402092346,17.79811022957832
1.1376337095979028,-0.2846652897945152,-1.4138512969102202,-1.4818398272738322,-1.5,0.125,-210152.58410148643,17.794560474434252
1.1376337095979028,-0.2846652897945152,-1.4138512969102202,-1.4818398272738322,-1.5,0.75,-4987.261019342105,17.798390420065964
1.1376337095979028,-0.2846652897945152,-1.4138512969102202,-1.4818398272738322,-1.5,1.375,-137.54456190305402,17.798480775438573
1.1376337095979028,-0.2846652897945152,-1.4138512969102202,-1.4818398272738322,-1.5,2.0,15.416438624918943,17.798483625131798
1.1376337095979028,-0.2846652897945152,-1.4138512969102202,-1.4818398272738322,-0.875,-0.5,-832.6185350412442,17.798467825972814
1.1376337095979028,-0.2846652897945152,-1.4138512969102202,-1.4818398272738322,-0.875,0.125,-9331.760443419815,17.798309470490462
1.1376337095979028,-0.2846652897945152,-1.4138512969102202,-1.4818398272738322,-0.875,0.75,-146.7768865218685,17.79848060343831
1.1376337095979028,-0.2846652897945152,-1.4138512969102202,-1.4818398272738322,-0.875,1.375,-194.2309851175302,17.79847971935741
1.1376337095979028,-0.2846652897945152,-1.4138512969102202,-1.4818398272738322,-0.875,2.0,28.325169048702787,17.798483865623588
1.1376337095979028,-0.2846652897945152,-1.4138512969102202,-1.4818398272738322,-0.25,-0.5,-81.08609893689601,17.79848182727168
1.1376337095979028,-0.2846652897945152,-1.4138512969102202,-1.4818398272738322,-0.25,0.125,-1028.4958382677617,17.7984641766814
1.1376337095979028,-0.2846652897945152,-1.4138512969102202,-1.4818398272738322,-0.25,0.75,-51.27548368250126,17.798482382649297
1.1376337095979028,-0.2846652897945152,-1.4138512969102202,-1.4818398272738322,-0.25,1.375,-91.22802720925463,17.79848163832549
1.1376337095979028,-0.2846652897945152,-1.4138512969102202,-1.4818398272738322,-0.25,2.0,-100.61484251368256,17.79848146344718
1.1376337095979028,-0.2846652897945152,-1.4138512969102202,-1.4818398272738322,0.375,-0.5,-24.33098308513012,17.798482884630374
1.1376337095979028,-0.2846652897945152,-1.4138512969102202,-1.4818398272738322,0.375,0.125,-289.5765776838566,17.79847794304447
1.1376337095979028,-0.2846652897945152,-1.4138512969102202,-1.4818398272738322,0.375,0.75,-51.77765758114331,17.7984823732937
1.1376337095979028,-0.2846652897945152,-1.4138512969102202,-1.4818398272738322,0.375,1.375,-14.297441014085715,17.798483071557072
1.1376337095979028,-0.2846652897945152,-1.4138512969102202,-1.4818398272738322,0.375,2.0,-1391.050807504861,17.79845742206717
1.1376337095979028,-0.2846652897945152,-1.4138512969102202,-1.4818398272738322,1.0,-0.5,-16.38848819474697,17.798483032600487
1.1376337095979028,-0.2846652897945152,-1.4138512969102202,-1.4818398272738322,1.0,0.125,-189.4802246261987,17.798479807865217
1.1376337095979028,-0.2846652897945152,-1.4138512969102202,-1.4818398272738322,1.0,0.75,-40.956266424696295,17.798482574898273
1.1376337095979028,-0.2846652897945152,-1.4138512969102202,-1.4818398272738322,1.0,1.375,-0.7774442310408273,17.798483323436994
1.1376337095979028,-0.2846652897945152,-1.4138512969102202,-1.4818398272738322,1.0,2.0,-5321.884718303781,17.798384185369663
-0.9099187375346118,-0.40551182264861363,-1.876756554337403,-0.9076286626438557,-1.5,-0.5,90.03768170360958,17.798485015337143
