a_1,a_2,a_3,a_4,x_1,x_2,V,V_scaled
-1.3023643249400514,-1.1900927392651872,-2.0720798063598167,-1.7897298894274487,-1.5,-0.5,72.25022524890137,103728.61821639256
-1.3023643249400514,-1.1900927392651872,-2.0720798063598167,-1.7897298894274487,-1.5,0.125,-345.3385151758016,103311.02947596785
-1.3023643249400514,-1.1900927392651872,-2.0720798063598167,-1.7897298894274487,-1.5,0.75,-2109.2737460047915,101547.09424513885
-1.3023643249400514,-1.1900927392651872,-2.0720798063598167,-1.7897298894274487,-1.5,1.375,-67.03784504611107,103589.33014609753
-1.3023643249400514,-1.1900927392651872,-2.0720798063598167,-1.7897298894274487,-1.5,2.0,14.287896123550404,103670.6558872672
-1.3023643249400514,-1.1900927392651872,-2.0720798063598167,-1.7897298894274487,-0.875,-0.5,62.795004879833776,103719.16299602349
-1.3023643249400514,-1.1900927392651872,-2.0720798063598167,-1.7897298894274487,-0.875,0.125,11.56598961427192,103667.93398075792
-1.3023643249400514,-1.1900927392651872,-2.0720798063598167,-1.7897298894274487,-0.875,0.75,-78.9510090794488,103577.4169820642
-1.3023643249400514,-1.1900927392651872,-2.0720798063598167,-1.7897298894274487,-0.875,1.375,-175.65280838095654,103480.7151827627
-1.3023643249400514,-1.1900927392651872,-2.0720798063598167,-1.7897298894274487,-0.875,2.0,28.480902370120027,103684.84889351377
-1.3023643249400514,-1.1900927392651872,-2.0720798063598167,-1.7897298894274487,-0.25,-0.5,11.33190254459192,103667.69989368824
-1.3023643249400514,-1.1900927392651872,-2.0720798063598167,-1.7897298894274487,-0.25,0.125,-38.78735667368615,103617.58063446997
-1.3023643249400514,-1.1900927392651872,-2.0720798063598167,-1.7897298894274487,-0.25,0.75,-45.15694824569793,103611.21104289795
-1.3023643249400514,-1.1900927392651872,-2.0720798063598167,-1.7897298894274487,-0.25,1.375,-88.5611718815874,103567.80681926206
-1.3023643249400514,-1.1900927392651872,-2.0720798063598167,-1.7897298894274487,-0.25,2.0,-99.0032618231549,103557.3647293205
-1.3023643249400514,-1.1900927392651872,-2.0720798063598167,-1.7897298894274487,0.375,-0.5,-9.161561597114137,103647.20642954654
-1.3023643249400514,-1.1900927392651872,-2.0720798063598167,-1.7897298894274487,0.375,0.125,-123.16326720746842,103533.20472393619
-1.3023643249400514,-1.1900927392651872,-2.0720798063598167,-1.7897298894274487,0.375,0.75,-45.279488492811765,103611.08850265083
-1.3023643249400514,-1.1900927392651872,-2.0720798063598167,-1.7897298894274487,0.375,1.375,-8.712338611144446,103647.6556525325
-1.3023643249400514,-1.1900927392651872,-2.0720798063598167,-1.7897298894274487,0.375,2.0,-840.5736995231999,102815.79429162045
-1.3023643249400514,-1.1900927392651872,-2.0720798063598167,-1.7897298894274487,1.0,-0.5,-16.409063337645964,103639.958927806
-1.3023643249400514,-1.1900927392651872,-2.0720798063598167,-1.7897298894274487,1.0,0.125,-178.51665837394617,103477.8513327697
-1.3023643249400514,-1.1900927392651872,-2.0720798063598167,-1.7897298894274487,1.0,0.75,-16.994562810064668,103639.37342833358
