,Theta_1,Theta_2,y-value
0,1.85665734819319,0.76582815814491,4.7349716166628095
1,-1.53585434394909,-1.45893398137951,4.263523633511358
2,1.19293350851797,-1.25492606243862,0.9351888212524693
3,-1.92916722492876,0.890235627729636,5.334466382489907
4,0.27640078924998,0.0600361534943215,3.774968810130275
5,0.670089590800597,-0.676893657840913,1.5417351110925126
6,-0.268637196690294,0.61656361081187,4.655505463349018
7,0.825767091480365,1.38669568229291,5.270435888021084
8,1.00637669807303,0.336274843484996,4.111153975879718
9,-0.00162440316244017,0.120028446502298,3.9668872488784146
10,-1.34501829172243,0.426364718323499,4.821967632878153
11,-0.980627830184371,-0.131593663577962,4.171777838407771
12,-1.05624542220997,-1.92836185869734,4.264487559362745
13,-1.74253676043622,1.04333933881058,5.381326652137361
14,-1.36873865843579,1.91211063471707,5.843027973554976
15,-0.160205266112515,-0.772867777537056,2.7165780677374625
16,1.29092461249852,1.74088455117156,5.548796376379392
17,-0.71960965592195,-0.937701851360352,3.384792097774168
18,-0.529856412959252,1.55895847303969,5.50713968292117
