,Run Number,BO Iter,Best Error,Exploration Bias,Max EI,Theta Max EI,Min Obj,Min Obj Act,Theta Min Obj,Min Obj Cum.,Theta Min Obj Cum.,Time/Iter,Sep Fact,BO Method,Max Evals,Total Run Time,L2 Norm Theta
11,5,1,5.342818885287204,0.6666666666666666,0.0,[-1.19233144  1.25504201],0.8657502734158982,0.07874873136103946,[ 1.0622883  -0.96572155],0.07874873136103946,[ 1.0622883  -0.96572155],0.149519681930542,1.0,A1,2,0.299039363861084,0.07109742621297405
584,4,8,3.569383452349307e-06,2.0,1.6712855862693866e-06,[ 1.61224265 -0.3873251 ],1.1124523344484291e-07,1.6262889081262646e-07,[ 0.99991432 -1.00005123],1.6262889081262646e-07,[ 0.99991432 -1.00005123],1.1924304962158203,0.6,A2,9,10.731874465942383,9.982358587779129e-05
185,2,1,2.2670234536977065,1.0,0.0,[-0.12469795  1.84466338],1.7158243016574568,-1.7629668513108634,[ 1.00479331 -1.07098165],-1.7629668513108634,[ 1.00479331 -1.07098165],0.07237958908081055,0.7,B1,2,0.1447591781616211,0.0711433119088537
1984,10,99,-21.88861365561841,0.5,3.286674961103345,[ 0.99999506 -1.00000134],-23.35411385607405,-22.246922760675506,[ 0.99999822 -1.00000234],-22.246922760675506,[ 0.99999822 -1.00000234],43.22682762145996,0.6,B2,100,4322.682762145996,2.942040002049383e-06
5261,6,29,0.00022275640847156024,2.0,0.0021826635433447213,[ 0.99589021 -0.99646927],1.515315026806436e-08,2.9818451787471543e-07,[ 1.00017215 -0.99999268],2.9818451787471543e-07,[ 1.00017215 -0.99999268],2.406693935394287,0.7,C2,35,84.23428773880005,0.00017230713974020196
