,a1,a2,a3,a4,b1,b2,b3,b4,X1exp,X2exp,Yexp
0,-0.9174049840794016,-0.6857363441817512,-1.1301574075025798,1.9244493183415967,-1.3743214925920713,-0.3783076024098102,14.306980317540855,1.7016352474190244,-1.0,0.0,19.07910490291544
1,-0.9174049840794016,-0.6857363441817512,-1.1301574075025798,1.9244493183415967,-1.3743214925920713,-0.3783076024098102,14.306980317540855,1.7016352474190244,-1.0,0.375,-132.04508370436707
2,-0.9174049840794016,-0.6857363441817512,-1.1301574075025798,1.9244493183415967,-1.3743214925920713,-0.3783076024098102,14.306980317540855,1.7016352474190244,-1.0,0.75,-721.8855765359128
3,-0.9174049840794016,-0.6857363441817512,-1.1301574075025798,1.9244493183415967,-1.3743214925920713,-0.3783076024098102,14.306980317540855,1.7016352474190244,-1.0,1.125,-737.381643169573
4,-0.9174049840794016,-0.6857363441817512,-1.1301574075025798,1.9244493183415967,-1.3743214925920713,-0.3783076024098102,14.306980317540855,1.7016352474190244,-1.0,1.5,-110.29203102134024
5,-0.9174049840794016,-0.6857363441817512,-1.1301574075025798,1.9244493183415967,-1.3743214925920713,-0.3783076024098102,14.306980317540855,1.7016352474190244,-0.625,0.0,-2.4030076700023457
6,-0.9174049840794016,-0.6857363441817512,-1.1301574075025798,1.9244493183415967,-1.3743214925920713,-0.3783076024098102,14.306980317540855,1.7016352474190244,-0.625,0.375,-56.56287503771924
7,-0.9174049840794016,-0.6857363441817512,-1.1301574075025798,1.9244493183415967,-1.3743214925920713,-0.3783076024098102,14.306980317540855,1.7016352474190244,-0.625,0.75,-42.767692333326195
8,-0.9174049840794016,-0.6857363441817512,-1.1301574075025798,1.9244493183415967,-1.3743214925920713,-0.3783076024098102,14.306980317540855,1.7016352474190244,-0.625,1.125,-111.19323471381229
9,-0.9174049840794016,-0.6857363441817512,-1.1301574075025798,1.9244493183415967,-1.3743214925920713,-0.3783076024098102,14.306980317540855,1.7016352474190244,-0.625,1.5,-134.8040932111719
10,-0.9174049840794016,-0.6857363441817512,-1.1301574075025798,1.9244493183415967,-1.3743214925920713,-0.3783076024098102,14.306980317540855,1.7016352474190244,-0.25,0.0,-30.31154703749315
11,-0.9174049840794016,-0.6857363441817512,-1.1301574075025798,1.9244493183415967,-1.3743214925920713,-0.3783076024098102,14.306980317540855,1.7016352474190244,-0.25,0.375,-77.0293099011782
12,-0.9174049840794016,-0.6857363441817512,-1.1301574075025798,1.9244493183415967,-1.3743214925920713,-0.3783076024098102,14.306980317540855,1.7016352474190244,-0.25,0.75,-19.787033166300603
13,-0.9174049840794016,-0.6857363441817512,-1.1301574075025798,1.9244493183415967,-1.3743214925920713,-0.3783076024098102,14.306980317540855,1.7016352474190244,-0.25,1.125,33.85824807360392
14,-0.9174049840794016,-0.6857363441817512,-1.1301574075025798,1.9244493183415967,-1.3743214925920713,-0.3783076024098102,14.306980317540855,1.7016352474190244,-0.25,1.5,-58.56142567185127
15,-0.9174049840794016,-0.6857363441817512,-1.1301574075025798,1.9244493183415967,-1.3743214925920713,-0.3783076024098102,14.306980317540855,1.7016352474190244,0.125,0.0,-56.521999723398835
16,-0.9174049840794016,-0.6857363441817512,-1.1301574075025798,1.9244493183415967,-1.3743214925920713,-0.3783076024098102,14.306980317540855,1.7016352474190244,0.125,0.375,-55.162260697425594
17,-0.9174049840794016,-0.6857363441817512,-1.1301574075025798,1.9244493183415967,-1.3743214925920713,-0.3783076024098102,14.306980317540855,1.7016352474190244,0.125,0.75,57.7067651932209
18,-0.9174049840794016,-0.6857363441817512,-1.1301574075025798,1.9244493183415967,-1.3743214925920713,-0.3783076024098102,14.306980317540855,1.7016352474190244,0.125,1.125,216.59627657007334
19,-0.9174049840794016,-0.6857363441817512,-1.1301574075025798,1.9244493183415967,-1.3743214925920713,-0.3783076024098102,14.306980317540855,1.7016352474190244,0.125,1.5,422.24877029245596
20,-0.9174049840794016,-0.6857363441817512,-1.1301574075025798,1.9244493183415967,-1.3743214925920713,-0.3783076024098102,14.306980317540855,1.7016352474190244,0.5,0.0,12.071010849623661
21,-0.9174049840794016,-0.6857363441817512,-1.1301574075025798,1.9244493183415967,-1.3743214925920713,-0.3783076024098102,14.306980317540855,1.7016352474190244,0.5,0.375,179.54940322853017
22,-0.9174049840794016,-0.6857363441817512,-1.1301574075025798,1.9244493183415967,-1.3743214925920713,-0.3783076024098102,14.306980317540855,1.7016352474190244,0.5,0.75,584.7566802289682
23,-0.9174049840794016,-0.6857363441817512,-1.1301574075025798,1.9244493183415967,-1.3743214925920713,-0.3783076024098102,14.306980317540855,1.7016352474190244,0.5,1.125,1582.9395182921737
24,-0.9174049840794016,-0.6857363441817512,-1.1301574075025798,1.9244493183415967,-1.3743214925920713,-0.3783076024098102,14.306980317540855,1.7016352474190244,0.5,1.5,4807.490703192822
25,-0.9174049840794016,-0.6857363441817512,-1.1301574075025798,1.9244493183415967,-1.3743214925920713,-0.3783076024098102,14.306980317540855,1.7016352474190244,-0.558,1.442,-138.95004953473247
