,Run Number,BO Iter,Best Error,Exploration Bias,Max EI,Theta Max EI,Min Obj,Min Obj Act,Theta Min Obj,Min Obj Cum.,Theta Min Obj Cum.,Time/Iter,Sep Fact,BO Method,Max Evals,Total Run Time
0,0,0,2.2670234536977065,1.0,39.02628322439509,[ 0.99308357 -0.99608604],-8.792837348975631,-8.79058647599129,[ 1.00005288 -0.99788471],-8.79058647599129,[ 1.00005288 -0.99788471],153.93863654136658,0.7,B2,100,15393.863654136658
1,0,1,-6.90853593085453,0.99,12.750834266803242,[ 1.00134474 -0.99994006],-13.586674997426044,-10.575762239050212,[ 1.00159625 -1.00003722],-10.575762239050212,[ 1.00159625 -1.00003722],23.561670541763306,0.7,B2,100,2356.1670541763306
2,0,2,-10.913789645211114,0.98,2.6630411643453695,[ 1.00060675 -0.99996364],-15.20327680958358,-12.16221825409751,[ 1.00072258 -1.00000919],-12.16221825409751,[ 1.00072258 -1.00000919],31.298362016677856,0.7,B2,100,3129.8362016677856
3,0,3,-12.500067935368454,0.97,1.4352359880076317,[ 1.00038677 -0.99997377],-16.11639973826229,-13.059806604416256,[ 1.00046138 -1.00000337],-13.059806604416256,[ 1.00046138 -1.00000337],29.21297264099121,0.7,B2,100,2921.297264099121
4,0,4,-13.397281135769205,0.96,1.0482030651134446,[ 1.00028198 -0.99997936],-16.756735577547673,-13.689570803801834,[ 1.00033677 -1.00000122],-13.689570803801834,[ 1.00033677 -1.00000122],20.603240966796875,0.7,B2,100,2060.3240966796875
5,0,5,-14.026693127019247,0.95,0.8607820822128267,[ 1.00022101 -0.99998291],-17.250423193792013,-14.175216622146285,[ 1.00026417 -1.00000022],-14.175216622146285,[ 1.00026417 -1.00000022],22.36397886276245,0.7,B2,100,2236.397886276245
6,0,6,-14.511911236442707,0.94,0.753379694379626,[ 1.00018123 -0.99998538],-17.652301842992724,-14.570593800363762,[ 1.00021679 -0.99999969],-14.570593800363762,[ 1.00021679 -0.99999969],18.215312480926514,0.7,B2,100,1821.5312480926514
7,0,7,-14.907077062631842,0.9299999999999999,0.6865678405797085,[ 1.0001533 -0.9999872],-17.991204102395567,-14.904066962260403,[ 1.00018349 -0.99999939],-14.904066962260403,[ 1.00018349 -0.99999939],36.315834045410156,0.7,B2,100,3631.5834045410156
8,0,8,-15.240169501694725,0.92,0.6436737914729446,[ 1.00013266 -0.9999886 ],-18.284217888878338,-15.19232895583217,[ 1.00015886 -0.99999921],-15.19232895583217,[ 1.00015886 -0.99999921],28.255202531814575,0.7,B2,100,2825.5202531814575
9,0,9,-15.528097163584604,0.91,0.6162660544936033,[ 1.00011678 -0.99998972],-18.5422932818107,-15.446253668080168,[ 1.00013991 -0.9999991 ],-15.446253668080168,[ 1.00013991 -0.9999991 ],25.008186101913452,0.7,B2,100,2500.818610191345
10,0,10,-15.78181572417408,0.9,0.5996563473993111,[ 1.00010422 -0.99999063],-18.772874948234,-15.67312840008134,[ 1.0001249  -0.99999903],-15.67312840008134,[ 1.0001249  -0.99999903],34.05487608909607,0.7,B2,100,3405.487608909607
11,0,11,-16.008343002862482,0.89,0.5911780942935878,[ 1.00009403 -0.99999138],-18.981258256805116,-15.878161150224523,[ 1.00011273 -0.99999899],-15.878161150224523,[ 1.00011273 -0.99999899],56.20150136947632,0.7,B2,100,5620.150136947632
12,0,12,-16.21310749977657,0.88,0.07057006424425294,[1.43922521 0.33958587],-19.17133576746656,-16.065135044795326,[ 1.00010267 -0.99999897],-16.065135044795326,[ 1.00010267 -0.99999897],10.888815879821777,0.7,B2,100,1088.8815879821777
13,0,13,-16.21310749977657,0.87,0.63876674108571,[ 1.0000855 -0.9999918],-19.1656559460358,-16.06715268858368,[ 1.00010255 -0.99999877],-16.06715268858368,[ 1.00010255 -0.99999877],55.48386287689209,0.7,B2,100,5548.386287689209
14,0,14,-16.400744456496284,0.86,0.6425530783082084,[ 1.00007843 -0.99999237],-19.34012204816017,-16.23896172285617,[ 1.00009411 -0.99999878],-16.23896172285617,[ 1.00009411 -0.99999878],21.72104549407959,0.7,B2,100,2172.104549407959
15,0,15,-16.57222637419119,0.85,0.6515498745386012,[ 1.00007242 -0.99999285],-19.50155359149177,-16.397933706870127,[ 1.00008691 -0.99999879],-16.397933706870127,[ 1.00008691 -0.99999879],23.060030698776245,0.7,B2,100,2306.0030698776245
16,0,16,-16.730870356275844,0.84,0.6649807564063043,[ 1.00006723 -0.99999328],-19.651753556184836,-16.54584328487762,[ 1.00008072 -0.99999881],-16.54584328487762,[ 1.00008072 -0.99999881],34.52834939956665,0.7,B2,100,3452.834939956665
17,0,17,-16.878776757038608,0.83,0.6824605090677851,[ 1.00006273 -0.99999366],-19.79218748132933,-16.684226993733528,[ 1.00007532 -0.99999882],-16.684226993733528,[ 1.00007532 -0.99999882],46.62657380104065,0.7,B2,100,4662.657380104065
18,0,18,-17.016631988715126,0.8200000000000001,0.7040389226299446,[ 1.00005876 -0.99999399],-19.924050643717262,-16.814025032887095,[ 1.00007058 -0.99999884],-16.814025032887095,[ 1.00007058 -0.99999884],23.52422022819519,0.7,B2,100,2352.422022819519
