,0
0,3.7817558051181837
1,3.7817558051181837
2,3.5458137846778626
3,3.5344158489864186
4,3.6366712359865097
5,3.6188037834426687
6,3.6142907163246956
7,3.56035183089611
8,3.558664804490332
9,3.554239093320342
10,3.5535056467371273
11,3.5442198972834427
12,3.5429188597092818
13,3.535977055170783
14,3.534827332871267
15,3.530240476838778
16,3.5346549484075944
17,3.5332019395127547
18,3.529457590131944
19,3.526683038101143
20,3.5256830408595805
21,3.5401360115760796
22,3.538568504302273
23,3.535890133910024
24,3.5338789659998824
25,3.5324649949945726
26,3.530198457768514
27,3.5283989321684968
28,3.5273980113094052
29,3.5265589628307024
30,3.5258466184736204
31,3.5252373451977337
32,3.5247114247056053
33,3.524255078153402
34,3.5238597503817513
35,3.523509524377285
36,3.523199524806318
37,3.5229242234652123
38,3.5226784173651575
39,3.522458112606903
40,3.5222597126275508
41,3.5220805123512577
42,3.5219178371249718
43,3.521769876622756
44,3.520980742419355
45,3.5208667390983344
46,3.520763551400292
47,3.52067080549821
48,3.5205877104318146
49,3.520513361349627
50,3.5204263615269697
51,3.5203667443402216
52,3.520312265991731
53,3.520262687992618
54,3.5202173279382554
55,3.520175879253919
56,3.520137721287429
57,3.520102626719941
58,3.520070510894969
59,3.5200406031751084
60,3.5200133727624623
61,3.5199878132926625
62,3.5199646453729136
63,3.51994296243377
64,3.5199228482615217
65,3.5199042135596392
66,3.5198870381113263
67,3.51987098714358
68,3.5198560782702324
69,3.519842097527837
70,3.5198292381860696
71,3.519817332618606
72,3.519806225366857
73,3.5197958678688215
74,3.5197862034707774
75,3.519777229181317
76,3.519768668937779
77,3.5197610072299095
78,3.519753756477443
79,3.5197468375688614
80,3.5197403273141337
81,3.5197346716433175
82,3.519729258959681
83,3.5197239906533966
84,3.5197191902909233
85,3.5197148326156578
86,3.5197103853365053
87,3.5197067153203734
88,3.519703024083481
89,3.519699460288263
90,3.5196965129155164
91,3.5196936525054614
92,3.519691114976011
93,3.519688363361132
94,3.519686280868054
95,3.5196839407282834
96,3.5196820471093075
97,3.519680336779337
98,3.5196786675229914
99,3.519676951018501
