,Run Number,BO Iter,Best Error,Exploration Bias,Max EI,Theta Max EI,Min Obj,Min Obj Act,Theta Min Obj,Min Obj Cum.,Theta Min Obj Cum.,Time/Iter,EP Method Val,BO Method,Max Evals,Total Run Time,L2 Norm Theta
25,12,1,1585612.9125731133,1.0,0.0,[-0.62740484 -0.20070918 -3.66143022  1.42800906],-586160845.9285865,2070586.2735238106,[-0.74897322 -2.         -5.486215    0.2666226 ],2070586.2735238106,[-0.74897322 -2.         -5.486215    0.2666226 ],0.26347947120666504,1,A1,2,0.5269589424133301,1.5095000662664662
30,0,0,14.276481586175757,1.0,3.0526074661360756,[-0.75188752 -2.         -5.92929148  0.18266563],10.748304975313193,23.565406518158824,[-2.00000000e+00 -2.00000000e+00 -2.22044605e-16 -2.00000000e+00],23.565406518158824,[-2.00000000e+00 -2.00000000e+00 -2.22044605e-16 -2.00000000e+00],0.4752318859100342,1,B1,3,1.4256956577301025,7.179136438319027
137,1,29,14739.635803569403,1.0,367483.6936621136,[-1.52494148 -0.64645343 -6.76137644  0.69365813],887.7831254072483,935.1530708691596,[-1.52480816 -0.84476179 -6.59491068  0.69890574],935.1530708691596,[-1.52480816 -0.84476179 -6.59491068  0.69890574],329.8447871208191,1,A2,36,11874.412336349487,0.5554563339420235
1084,14,8,14.276481586175757,1.0,342.6355580682182,[-0.40770838  0.95115508 -3.05320775 -1.11326963],10.144573566628548,10.460133207045645,[-0.79362177 -1.12834208 -4.55390394  0.70478791],10.460133207045645,[-0.79362177 -1.12834208 -4.55390394  0.70478791],45.550071239471436,1,B2,33,1503.1523509025574,1.9612181114654064
1137,14,0,1585612.9125731133,1.0,0.0,[-0.53762385 -1.54209214 -3.91624606  1.1544071 ],58972.0506688914,1190320.8975486225,[-0.07504339  1.00010278 -9.1878628   0.5289114 ],1190320.8975486225,[-0.07504339  1.00010278 -9.1878628   0.5289114 ],41.02671551704407,1,C2,2,82.05343103408813,3.4799186198820338
