,Run Number,BO Iter,Best Error,Exploration Bias,Max EI,Theta Max EI,Min Obj,Min Obj Act,Theta Min Obj,Min Obj Cum.,Theta Min Obj Cum.,Time/Iter,Sep Fact,BO Method,Max Evals,Total Run Time
0,0,0,2.2670234536977065,1.0,0.0,[-1.69186718 -1.81246992],1.7143026809055897,-1.75660674626087,[ 1.00770987 -1.07113269],-1.75660674626087,[ 1.00770987 -1.07113269],0.2342362403869629,0.7,B1,2,0.4684724807739258
1,0,1,2.2670234536977065,1.0,0.0,[-1.69186718 -1.81246992],1.71432406509529,-1.7573007271841627,[ 1.00764936 -1.07110985],-1.7573007271841627,[ 1.00764936 -1.07110985],0.0962526798248291,0.7,B1,2,0.1925053596496582
2,1,0,2.2670234536977065,1.0,0.0,[-0.64069105 -1.25246267],1.7143026809056185,-1.7566065602122278,[ 1.00771126 -1.07113265],-1.7566065602122278,[ 1.00771126 -1.07113265],0.0795140266418457,0.7,B1,2,0.1590280532836914
3,1,1,2.2670234536977065,1.0,0.0,[-1.89703819 -1.59614744],1.7137815023333869,-1.7581808793816773,[ 1.00715175 -1.07109369],-1.7581808793816773,[ 1.00715175 -1.07109369],0.07006406784057617,0.7,B1,2,0.14012813568115234
4,2,0,2.2670234536977065,1.0,4.927727590966982e-138,[ 1.69175463 -0.45537824],1.7143026809055897,-1.75660674626087,[ 1.00770987 -1.07113269],-1.75660674626087,[ 1.00770987 -1.07113269],0.0794529914855957,0.7,B1,2,0.1589059829711914
5,2,1,2.2670234536977065,1.0,0.0,[-0.12469795  1.84466338],1.7158243016574568,-1.7629668513108634,[ 1.00479331 -1.07098165],-1.7629668513108634,[ 1.00479331 -1.07098165],0.07237958908081055,0.7,B1,2,0.1447591781616211
6,3,0,2.2670234536977065,1.0,0.0,[1.9678696  1.60601492],1.7143026809055897,-1.75660674626087,[ 1.00770987 -1.07113269],-1.75660674626087,[ 1.00770987 -1.07113269],0.1131749153137207,0.7,B1,2,0.2263498306274414
7,3,1,2.2670234536977065,1.0,0.0,[1.44992707 0.34391825],1.7144127868803052,-1.758066522378762,[ 1.00751953 -1.07108661],-1.758066522378762,[ 1.00751953 -1.07108661],0.0880439281463623,0.7,B1,2,0.1760878562927246
8,4,0,2.2670234536977065,1.0,0.0,[1.9678696  1.60601492],1.7143026809055897,-1.75660674626087,[ 1.00770987 -1.07113269],-1.75660674626087,[ 1.00770987 -1.07113269],0.07738089561462402,0.7,B1,2,0.15476179122924805
9,4,1,2.2670234536977065,1.0,0.0,[1.44992707 0.34391825],1.7144147758028843,-1.7580893971423295,[ 1.00752009 -1.07108577],-1.7580893971423295,[ 1.00752009 -1.07108577],0.06696867942810059,0.7,B1,2,0.13393735885620117
10,5,0,2.2670234536977065,1.0,0.0,[ 0.37116808 -1.78972989],1.714302680905952,-1.756626750807366,[ 1.00770892 -1.07113201],-1.756626750807366,[ 1.00770892 -1.07113201],0.11033010482788086,0.7,B1,2,0.22066020965576172
11,5,1,2.2670234536977065,1.0,0.0,[-0.50321372 -0.02317312],1.7143948976131025,-1.7509842809168379,[ 1.00793035 -1.07132652],-1.756626750807366,[ 1.00770892 -1.07113201],0.09795737266540527,0.7,B1,2,0.19591474533081055
12,6,0,2.2670234536977065,1.0,0.0,[-0.64069105 -1.25246267],1.7143026809056185,-1.7566065602122278,[ 1.00771126 -1.07113265],-1.7566065602122278,[ 1.00771126 -1.07113265],0.07982659339904785,0.7,B1,2,0.1596531867980957
13,6,1,2.2670234536977065,1.0,0.0,[-1.89703819 -1.59614744],1.7137815023333869,-1.7581808793816773,[ 1.00715175 -1.07109369],-1.7581808793816773,[ 1.00715175 -1.07109369],0.07174062728881836,0.7,B1,2,0.14348125457763672
14,7,0,2.2670234536977065,1.0,4.927727590966982e-138,[ 1.69175463 -0.45537824],1.7143026809360982,-1.756675466359933,[ 1.00770096 -1.07113052],-1.756675466359933,[ 1.00770096 -1.07113052],0.07778620719909668,0.7,B1,2,0.15557241439819336
15,7,1,2.2670234536977065,1.0,0.0,[1.44992707 0.34391825],1.7158243016480883,-1.7629105050198546,[ 1.00479339 -1.07098365],-1.7629105050198546,[ 1.00479339 -1.07098365],0.07035970687866211,0.7,B1,2,0.14071941375732422
16,8,0,2.2670234536977065,1.0,0.0,[ 0.37116808 -1.78972989],1.714302680905952,-1.756626750807366,[ 1.00770892 -1.07113201],-1.756626750807366,[ 1.00770892 -1.07113201],0.07905697822570801,0.7,B1,2,0.15811395645141602
17,8,1,2.2670234536977065,1.0,0.0,[-0.50321372 -0.02317312],1.7143948569327332,-1.7510047547667456,[ 1.00793292 -1.07132571],-1.756626750807366,[ 1.00770892 -1.07113201],0.06846094131469727,0.7,B1,2,0.13692188262939453
18,9,0,2.2670234536977065,1.0,0.0,[-1.69186718 -1.81246992],1.7143026809055897,-1.75660674626087,[ 1.00770987 -1.07113269],-1.75660674626087,[ 1.00770987 -1.07113269],0.07851791381835938,0.7,B1,2,0.15703582763671875
19,9,1,2.2670234536977065,1.0,0.0,[-1.69186718 -1.81246992],1.7143241171295327,-1.7573029268336915,[ 1.00764925 -1.07110977],-1.7573029268336915,[ 1.00764925 -1.07110977],0.06875777244567871,0.7,B1,2,0.13751554489135742
20,10,0,2.2670234536977065,1.0,0.0,[ 0.37116808 -1.78972989],1.714302680905952,-1.756626750807366,[ 1.00770892 -1.07113201],-1.756626750807366,[ 1.00770892 -1.07113201],0.07812905311584473,0.7,B1,2,0.15625810623168945
21,10,1,2.2670234536977065,1.0,0.0,[-0.50321372 -0.02317312],1.7143948569290508,-1.7509871400325998,[ 1.00793006 -1.07132643],-1.756626750807366,[ 1.00770892 -1.07113201],0.06630396842956543,0.7,B1,2,0.13260793685913086
22,11,0,2.2670234536977065,1.0,4.92772758558785e-138,[ 1.69175463 -0.45537824],1.714302677804656,-1.7566220849381475,[ 1.00771098 -1.07113211],-1.7566220849381475,[ 1.00771098 -1.07113211],0.10998654365539551,0.7,B1,2,0.21997308731079102
23,11,1,2.2670234536977065,1.0,0.0,[-0.12469795  1.84466338],1.7158234051418324,-1.7629475991486938,[ 1.00479565 -1.07098229],-1.7629475991486938,[ 1.00479565 -1.07098229],0.0979619026184082,0.7,B1,2,0.1959238052368164
24,12,0,2.2670234536977065,1.0,0.0,[1.9678696  1.60601492],1.7143026809055897,-1.75660674626087,[ 1.00770987 -1.07113269],-1.75660674626087,[ 1.00770987 -1.07113269],0.09018325805664062,0.7,B1,2,0.18036651611328125
25,12,1,2.2670234536977065,1.0,0.0,[1.44992707 0.34391825],1.7144132393335445,-1.7580536216568483,[ 1.00751915 -1.07108708],-1.7580536216568483,[ 1.00751915 -1.07108708],0.07948112487792969,0.7,B1,2,0.15896224975585938
26,13,0,2.2670234536977065,1.0,4.927727590966982e-138,[ 1.69175463 -0.45537824],1.7143026809055897,-1.75660674626087,[ 1.00770987 -1.07113269],-1.75660674626087,[ 1.00770987 -1.07113269],0.09056496620178223,0.7,B1,2,0.18112993240356445
27,13,1,2.2670234536977065,1.0,0.0,[-0.12469795  1.84466338],1.7158243016574568,-1.7629668513108634,[ 1.00479331 -1.07098165],-1.7629668513108634,[ 1.00479331 -1.07098165],0.08414888381958008,0.7,B1,2,0.16829776763916016
28,14,0,2.2670234536977065,1.0,0.0,[-1.69186718 -1.81246992],1.7143026809055897,-1.75660674626087,[ 1.00770987 -1.07113269],-1.75660674626087,[ 1.00770987 -1.07113269],0.09154701232910156,0.7,B1,2,0.18309402465820312
29,14,1,2.2670234536977065,1.0,0.0,[-1.69186718 -1.81246992],1.7143239880804866,-1.7572891420383072,[ 1.00765224 -1.07111017],-1.7572891420383072,[ 1.00765224 -1.07111017],0.08359599113464355,0.7,B1,2,0.1671919822692871
30,0,0,2.2670234536977065,1.0,0.0,[-0.90236432  1.00990726],0.9007856077430727,2.303844862423108,[ 2.         -1.01925497],2.303844862423108,[ 2.         -1.01925497],0.22936630249023438,0.5,B1,2,0.45873260498046875
31,0,1,2.2670234536977065,1.0,0.0,[ 0.37116808 -1.78972989],0.90075723014803,2.30384156521087,[ 2.         -1.01922974],2.30384156521087,[ 2.         -1.01922974],0.08078241348266602,0.5,B1,2,0.16156482696533203
32,1,0,2.2670234536977065,1.0,0.0,[-1.69186718 -1.81246992],0.9007856077430727,2.303844862423108,[ 2.         -1.01925497],2.303844862423108,[ 2.         -1.01925497],0.05665850639343262,0.5,B1,2,0.11331701278686523
33,1,1,2.2670234536977065,1.0,0.0,[-1.89703819 -1.59614744],0.9007849264089165,2.3038410087232513,[ 2.         -1.01922548],2.3038410087232513,[ 2.         -1.01922548],0.05325126647949219,0.5,B1,2,0.10650253295898438
34,2,0,2.2670234536977065,1.0,0.0,[1.13405366 1.44231426],0.9007856077430727,2.303844862423108,[ 2.         -1.01925497],2.303844862423108,[ 2.         -1.01925497],0.05648064613342285,0.5,B1,2,0.1129612922668457
35,2,1,2.2670234536977065,1.0,0.0,[-0.50321372 -0.02317312],0.900600259762057,2.3038425019981346,[ 2.         -1.01923691],2.3038425019981346,[ 2.         -1.01923691],0.05359935760498047,0.5,B1,2,0.10719871520996094
36,3,0,2.2670234536977065,1.0,0.0,[0.64929738 0.09237134],0.9007856241910144,2.3038448624670735,[ 2.         -1.01925497],2.3038448624670735,[ 2.         -1.01925497],0.07351398468017578,0.5,B1,2,0.14702796936035156
37,3,1,2.2670234536977065,1.0,0.0,[-1.69186718 -1.81246992],0.9016092874650741,2.303913736951326,[ 2.         -1.01977466],2.3038448624670735,[ 2.         -1.01925497],0.08345699310302734,0.5,B1,2,0.1669139862060547
38,4,0,2.2670234536977065,1.0,0.0,[0.64929738 0.09237134],0.9007856077430727,2.303844862423108,[ 2.         -1.01925497],2.303844862423108,[ 2.         -1.01925497],0.055573463439941406,0.5,B1,2,0.11114692687988281
39,4,1,2.2670234536977065,1.0,0.0,[-1.69186718 -1.81246992],0.9016092874650803,2.3039137483861207,[ 2.         -1.01977475],2.303844862423108,[ 2.         -1.01925497],0.051351308822631836,0.5,B1,2,0.10270261764526367
40,5,0,2.2670234536977065,1.0,0.0,[-0.64069105 -1.25246267],0.9007856077430727,2.303844862423108,[ 2.         -1.01925497],2.303844862423108,[ 2.         -1.01925497],0.08741116523742676,0.5,B1,2,0.17482233047485352
41,5,1,2.2670234536977065,1.0,0.0,[-0.12469795  1.84466338],0.9002444042317146,2.303852897147038,[ 2.         -1.01931632],2.303844862423108,[ 2.         -1.01925497],0.08405327796936035,0.5,B1,2,0.1681065559387207
42,6,0,2.2670234536977065,1.0,0.0,[-1.69186718 -1.81246992],0.9007856077430727,2.303844862423108,[ 2.         -1.01925497],2.303844862423108,[ 2.         -1.01925497],0.05736088752746582,0.5,B1,2,0.11472177505493164
43,6,1,2.2670234536977065,1.0,0.0,[-1.89703819 -1.59614744],0.9007849264089165,2.3038410087232513,[ 2.         -1.01922548],2.3038410087232513,[ 2.         -1.01922548],0.05460619926452637,0.5,B1,2,0.10921239852905273
44,7,0,2.2670234536977065,1.0,0.0,[ 0.37116808 -1.78972989],0.9007856077430727,2.303844862423108,[ 2.         -1.01925497],2.303844862423108,[ 2.         -1.01925497],0.0547330379486084,0.5,B1,2,0.1094660758972168
45,7,1,2.2670234536977065,1.0,0.0,[-1.69186718 -1.81246992],0.9012203848198279,2.303884239171587,[ 2.         -1.01955378],2.303844862423108,[ 2.         -1.01925497],0.052097320556640625,0.5,B1,2,0.10419464111328125
