,Run Number,BO Iter,Best Error,Exploration Bias,Max EI,Theta Max EI,Min Obj,Min Obj Act,Theta Min Obj,Min Obj Cum.,Theta Min Obj Cum.,Time/Iter,EP Method Val,BO Method,Max Evals,Total Run Time,L2 Norm Theta
3,1,1,10032.58491712145,1.0,0.0,[-289.27613487  -24.30641748 -202.19134274    9.32303386],706.5428475920926,23824.494555926998,[-300.         -200.         -195.93529316   15.02812753],23824.494555926998,[-300.         -200.         -195.93529316   15.02812753],0.6066639423370361,1,A1,2,1.2133278846740723,143.77983245996936
43,6,1,9.213593566308734,1.0,0.0,[-289.27613487  -24.30641748 -202.19134274    9.32303386],8.639558575922123,10.291640258580511,[-300.         -200.         -250.           15.18448518],10.291640258580511,[-300.         -200.         -250.           15.18448518],0.4346456527709961,1,B1,2,0.8692913055419922,162.48087282748716
149,12,5,0.15042335170938959,1.0,1.5372633826789576e-31,[-153.26933006 -107.15613374 -217.16830126    7.01294933],0.0028234952277038823,0.04727984599857179,[-199.96789268  -99.98424257 -169.98593602   14.99814486],0.04727984599857179,[-199.96789268  -99.98424257 -169.98593602   14.99814486],132.66504001617432,1,A2,7,928.6552801132202,0.03847614535831338
857,14,57,9.213593566308734,1.0,230.33983915772043,[-167.62814762  -15.74524012 -224.91241936   14.59938642],0.5416133967105925,3.8495490666673344,[-198.31737222 -101.02951824 -169.1721409    14.9426621 ],3.8495490666673344,[-198.31737222 -101.02951824 -169.1721409    14.9426621 ],773.4053380489349,1,B2,59,45630.91494488716,2.1400426125129277
872,6,1,10032.58491712145,1.0,0.0,[-194.15637417 -170.31358961 -199.56371953   12.43830978],0.002263037730849084,88.79561927873705,[-198.56501099 -100.64230262 -168.85493425   14.91992573],88.79561927873705,[-198.56501099 -100.64230262 -168.85493425   14.91992573],74.31170058250427,1,C2,2,148.62340116500854,1.9466210642202777
