,BO_iter,\theta_1,\theta_2,EI,ln(SSE),Var,StDev,Best_Error,z,CDF,PDF,ei_term_1,ei_term_2
1,1,-1.9963182210922241,-1.9954113960266113,0.0,4.814685093958573,0.38520050048828125,0.6206452291674216,3.7340722,-192.66063435474,0.0,0.0,-0.0,0.0
2,1,-1.9963182210922241,-1.7854450815602352,0.0,4.706829463534313,0.43212699890136713,0.6573636732443976,3.7340722,-162.72050723803946,0.0,0.0,-0.0,0.0
3,1,-1.9963182210922241,-1.5754787670938593,0.0,4.61550278218855,0.4868068695068359,0.6977154645748049,3.7340722,-139.4616414748866,0.0,0.0,-0.0,0.0
4,1,-1.9963182210922241,-1.365512452627483,0.0,4.546916682255965,0.47018241882324224,0.6856984897338204,3.7340722,-132.1382576239664,0.0,0.0,-0.0,0.0
5,1,-1.9963182210922241,-1.1555461381611072,0.0,4.506712812715381,0.38520050048828125,0.6206452291674216,3.7340722,-139.998433674547,0.0,0.0,-0.0,0.0
6,1,-1.9963182210922241,-0.945579823694731,0.0,4.498665836402132,0.2715320587158203,0.5210873810752092,3.7340722,-165.3523856475969,0.0,0.0,-0.0,0.0
7,1,-1.9963182210922241,-0.7356135092283549,0.0,4.523632339736,0.17013549804687503,0.4124748453504468,3.7340722,-214.40267552560334,0.0,0.0,-0.0,0.0
8,1,-1.9963182210922241,-0.525647194761979,0.0,4.579296901646247,0.10047149658203125,0.3169723908829147,3.7340722,-295.6465186918178,0.0,0.0,-0.0,0.0
9,1,-1.9963182210922241,-0.3156808802956028,0.0,4.660855909591368,0.05681610107421874,0.2383612826660797,3.7340722,-427.8902280098729,0.0,0.0,-0.0,0.0
10,1,-1.9963182210922241,-0.10571456582922667,0.0,4.76226235361506,0.028360366821289062,0.16840536458583813,3.7340722,-672.6405273915228,0.0,0.0,-0.0,0.0
11,1,-1.9963182210922241,0.10425174863714926,0.0,4.877444027425356,0.011692047119140625,0.10812976980989382,3.7340722,-1179.698959315358,0.0,0.0,-0.0,0.0
12,1,-1.9963182210922241,0.3142180631035254,0.0,5.001104277250443,0.0031127929687500004,0.05579240959799102,3.7340722,-2596.1070284651737,0.0,0.0,-0.0,0.0
13,1,-1.9963182210922241,0.5241843775699015,0.0,5.1290483531429185,0.0015544891357421873,0.03942701023083271,3.7340722,-4188.049683958407,0.0,0.0,-0.0,0.0
14,1,-1.9963182210922241,0.7341506920362777,0.0,5.258176619697816,0.007436752319335937,0.08623660660842318,3.7340722,-2184.6496437790574,0.0,0.0,-0.0,0.0
15,1,-1.9963182210922241,0.9441170065026534,0.0,5.386318880002714,0.0120391845703125,0.10972321800928234,3.7340722,-1956.4125681606538,0.0,0.0,-0.0,0.0
16,1,-1.9963182210922241,1.1540833209690295,0.0,5.512026015371317,0.011678695678710938,0.10806801413328061,3.7340722,-2257.081305565159,0.0,0.0,-0.0,0.0
17,1,-1.9963182210922241,1.3640496354354057,0.0,5.6343787780760595,0.033390045166015625,0.18272943158127436,3.7340722,-1511.2558387632066,0.0,0.0,-0.0,0.0
18,1,-1.9963182210922241,1.5740159499017818,0.0,5.752834547070247,0.1469287872314453,0.3833129103375535,3.7340722,-812.2565958429913,0.0,0.0,-0.0,0.0
19,1,-1.9963182210922241,1.783982264368158,0.0,5.867113175624586,0.47187614440917963,0.6869324161874876,3.7340722,-508.77454597435866,0.0,0.0,-0.0,0.0
20,1,-1.9963182210922241,1.9939485788345337,0.0,5.977113785213577,1.2095279693603516,1.099785419688928,3.7340722,-355.1298358656031,0.0,0.0,-0.0,0.0
21,1,-1.7860478413732428,-1.9954113960266113,0.0,4.711293304467213,0.1633129119873047,0.4041199227794946,3.7340722,-265.91563248770245,0.0,0.0,-0.0,0.0
22,1,-1.7860478413732428,-1.7854450815602352,0.0,4.590835024247456,0.23242568969726565,0.4821054756972437,3.7340722,-196.72590816717857,0.0,0.0,-0.0,0.0
23,1,-1.7860478413732428,-1.5754787670938593,0.0,4.487570730090936,0.2996749877929687,0.5474257829084859,3.7340722,-155.58480992021552,0.0,0.0,-0.0,0.0
24,1,-1.7860478413732428,-1.365512452627483,0.0,4.409164639209417,0.29776763916015625,0.5456808949928119,3.7340722,-143.79593646891178,0.0,0.0,-0.0,0.0
25,1,-1.7860478413732428,-1.1555461381611072,0.0,4.3628268939568065,0.23463630676269528,0.48439271955996127,3.7340722,-154.3057870214975,0.0,0.0,-0.0,0.0
26,1,-1.7860478413732428,-0.945579823694731,0.0,4.353495999747307,0.14854049682617188,0.3854095183388338,3.7340722,-192.04437333658822,0.0,0.0,-0.0,0.0
27,1,-1.7860478413732428,-0.7356135092283549,0.0,4.38229167332428,0.0767669677734375,0.27706852541102084,3.7340722,-275.3367008415191,0.0,0.0,-0.0,0.0
28,1,-1.7860478413732428,-0.525647194761979,0.0,4.446138802318607,0.035411834716796875,0.18818032499917964,3.7340722,-433.4294072203928,0.0,0.0,-0.0,0.0
29,1,-1.7860478413732428,-0.3156808802956028,0.0,4.538795589018396,0.015542984008789062,0.12467150439771336,3.7340722,-720.6454597905246,0.0,0.0,-0.0,0.0
30,1,-1.7860478413732428,-0.10571456582922667,0.0,4.652650579324106,0.0047321319580078125,0.06879049322404814,3.7340722,-1470.0940077451937,0.0,0.0,-0.0,0.0
31,1,-1.7860478413732428,0.10425174863714926,0.0,4.780364582910376,0.0010852813720703123,0.03294360897154883,3.7340722,-3503.3717545439786,0.0,0.0,-0.0,0.0
32,1,-1.7860478413732428,0.3142180631035254,0.0,4.915823352374028,0.0013694763183593748,0.03700643617479769,3.7340722,-3585.795779237954,0.0,0.0,-0.0,0.0
33,1,-1.7860478413732428,0.5241843775699015,0.0,5.0544159810965255,0.003955841064453124,0.06289547729728366,3.7340722,-2432.271995312262,0.0,0.0,-0.0,0.0
34,1,-1.7860478413732428,0.7341506920362777,0.0,5.192908445448937,0.010631561279296875,0.10310946260793369,3.7340722,-1709.4184235373832,0.0,0.0,-0.0,0.0
35,1,-1.7860478413732428,0.9441170065026534,0.0,5.3291598789723595,0.013792037963867188,0.11743950767892034,3.7340722,-1724.5520344868837,0.0,0.0,-0.0,0.0
36,1,-1.7860478413732428,1.1540833209690295,0.0,5.4618308222070775,0.005853652954101563,0.07650916908515974,3.7340722,-3029.626001263335,0.0,0.0,-0.0,0.0
37,1,-1.7860478413732428,1.3640496354354057,0.0,5.590141347355805,0.0020122528076171875,0.04485814092912442,3.7340722,-5886.097560730515,0.0,0.0,-0.0,0.0
38,1,-1.7860478413732428,1.5740159499017818,0.0,5.713689854620915,0.05127906799316407,0.22644881980960746,3.7340722,-1321.503526507571,0.0,0.0,-0.0,0.0
39,1,-1.7860478413732428,1.783982264368158,0.0,5.832325823564664,0.24574089050292966,0.4957225943034367,3.7340722,-680.6571785684404,0.0,0.0,-0.0,0.0
40,1,-1.7860478413732428,1.9939485788345337,0.0,5.946063278400539,0.7562675476074219,0.8696364456526773,3.7340722,-435.25257991388014,0.0,0.0,-0.0,0.0
41,1,-1.5757774616542615,-1.9954113960266113,0.0,4.604672320374353,0.05241775512695312,0.22894924137667091,3.7340722,-420.2510261363009,0.0,0.0,-0.0,0.0
42,1,-1.5757774616542615,-1.7854450815602352,0.0,4.469596194413178,0.12134742736816406,0.3483495763857968,3.7340722,-239.9525891797083,0.0,0.0,-0.0,0.0
43,1,-1.5757774616542615,-1.5754787670938593,0.0,4.3521163078137635,0.1865081787109375,0.43186592677697727,3.7340722,-171.13767962908523,0.0,0.0,-0.0,0.0
44,1,-1.5757774616542615,-1.365512452627483,0.0,4.26174002602192,0.19005203247070312,0.43594957560560044,3.7340722,-154.1445008265111,0.0,0.0,-0.0,0.0
45,1,-1.5757774616542615,-1.1555461381611072,0.0,4.207800833065972,0.1424369812011719,0.37740824209491225,3.7340722,-168.18525672440552,0.0,0.0,-0.0,0.0
46,1,-1.5757774616542615,-0.945579823694731,0.0,4.196880486242542,0.07818603515625,0.2796176588777075,3.7340722,-224.39410405856333,0.0,0.0,-0.0,0.0
47,1,-1.5757774616542615,-0.7356135092283549,0.0,4.230474184164162,0.02910995483398438,0.17061639673250745,3.7340722,-381.0639162509861,0.0,0.0,-0.0,0.0
48,1,-1.5757774616542615,-0.525647194761979,0.0,4.304413613314117,0.0076045989990234375,0.08720435195002275,3.7340722,-806.0575097764633,0.0,0.0,-0.0,0.0
49,1,-1.5757774616542615,-0.3156808802956028,0.0,4.410459810524351,0.002559661865234375,0.05059310096479929,3.7340722,-1553.0423488746144,0.0,0.0,-0.0,0.0
50,1,-1.5757774616542615,-0.10571456582922667,0.0,4.538948160335542,0.0007801055908203124,0.027930370402490412,3.7340722,-3217.2230703148703,0.0,0.0,-0.0,0.0
51,1,-1.5757774616542615,0.10425174863714926,0.0,4.6810001303977815,0.00196075439453125,0.04428040644044779,3.7340722,-2351.9169487676445,0.0,0.0,-0.0,0.0
52,1,-1.5757774616542615,0.3142180631035254,0.0,4.82961059499334,0.004957199096679688,0.07040737956123412,3.7340722,-1724.6507528065883,0.0,0.0,-0.0,0.0
53,1,-1.5757774616542615,0.5241843775699015,0.0,4.979796078435284,0.009250640869140625,0.09618025197066508,3.7340722,-1473.3861078820246,0.0,0.0,-0.0,0.0
54,1,-1.5757774616542615,0.7341506920362777,0.0,5.128273010311179,0.017730712890624997,0.13315672303952586,3.7340722,-1239.0768047708448,0.0,0.0,-0.0,0.0
55,1,-1.5757774616542615,0.9441170065026534,0.0,5.273016939738439,0.023859024047851566,0.15446366578536055,3.7340722,-1238.280317753819,0.0,0.0,-0.0,0.0
56,1,-1.5757774616542615,1.1540833209690295,0.0,5.412870637001883,0.017688751220703125,0.13299906473619702,3.7340722,-1658.21017859556,0.0,0.0,-0.0,0.0
57,1,-1.5757774616542615,1.3640496354354057,0.0,5.547247366780157,0.0048351287841796875,0.06953509030827304,3.7340722,-3635.522375601098,0.0,0.0,-0.0,0.0
58,1,-1.5757774616542615,1.5740159499017818,0.0,5.675924506492111,0.016006469726562497,0.1265166776617316,3.7340722,-2276.5684266234916,0.0,0.0,-0.0,0.0
59,1,-1.5757774616542615,1.783982264368158,0.0,5.798907971380934,0.1192913055419922,0.345385734421664,3.7340722,-944.4657248192246,0.0,0.0,-0.0,0.0
60,1,-1.5757774616542615,1.9939485788345337,0.0,5.916343880116176,0.4592552185058594,0.6776837156859086,3.7340722,-542.0206171643837,0.0,0.0,-0.0,0.0
61,1,-1.3655070819352804,-1.9954113960266113,0.0,4.495062558719996,0.00852203369140625,0.0923148617038787,3.7340722,-929.8578651113197,0.0,0.0,-0.0,0.0
62,1,-1.3655070819352804,-1.7854450815602352,0.0,4.342996180519818,0.0627574920654297,0.25051445480337,3.7340722,-292.2132436313914,0.0,0.0,-0.0,0.0
63,1,-1.3655070819352804,-1.5754787670938593,0.0,4.208471273633673,0.11738967895507812,0.342621772447517,3.7340722,-185.39270314253014,0.0,0.0,-0.0,0.0
64,1,-1.3655070819352804,-1.365512452627483,0.0,4.103327632583353,0.1213512420654297,0.34835505172945275,3.7340722,-163.0731056233686,0.0,0.0,-0.0,0.0
65,1,-1.3655070819352804,-1.1555461381611072,0.0,4.039814954571347,0.08565139770507811,0.2926626004549917,3.7340722,-181.37526295616686,0.0,0.0,-0.0,0.0
66,1,-1.3655070819352804,-0.945579823694731,0.0,4.026891438052134,0.03950309753417968,0.19875386168369077,3.7340722,-263.40227865236517,0.0,0.0,-0.0,0.0
67,1,-1.3655070819352804,-0.7356135092283549,0.0,4.066600469693127,0.00835418701171875,0.09140124184998118,3.7340722,-597.6304160808761,0.0,0.0,-0.0,0.0
68,1,-1.3655070819352804,-0.525647194761979,0.0,4.153161568883479,0.000598907470703125,0.024472586105745445,3.7340722,-2447.6692473199096,0.0,0.0,-0.0,0.0
69,1,-1.3655070819352804,-0.3156808802956028,0.0,4.275510366357339,0.0038738250732421875,0.062240060035657,3.7340722,-1095.480332604072,0.0,0.0,-0.0,0.0
70,1,-1.3655070819352804,-0.10571456582922667,0.0,4.42127193214845,0.00522613525390625,0.07229201376297557,3.7340722,-1099.2635160616994,0.0,0.0,-0.0,0.0
71,1,-1.3655070819352804,0.10425174863714926,0.0,4.57972519377816,0.005413055419921874,0.0735734695384272,3.7340722,-1274.2844493580171,0.0,0.0,-0.0,0.0
72,1,-1.3655070819352804,0.3142180631035254,0.0,4.742945219508457,0.0063686370849609375,0.07980374104614982,3.7340722,-1391.3841464863858,0.0,0.0,-0.0,0.0
73,1,-1.3655070819352804,0.5241843775699015,0.0,4.905677599968734,0.01026153564453125,0.10129923812414016,3.7340722,-1296.360388136651,0.0,0.0,-0.0,0.0
74,1,-1.3655070819352804,0.7341506920362777,0.0,5.064721540486231,0.020563125610351562,0.14339848538374303,3.7340722,-1078.130449219724,0.0,0.0,-0.0,0.0
75,1,-1.3655070819352804,0.9441170065026534,0.0,5.218284879032032,0.030939102172851566,0.17589514539307663,3.7340722,-1028.3581096607968,0.0,0.0,-0.0,0.0
76,1,-1.3655070819352804,1.1540833209690295,0.0,5.3654807304230525,0.03039932250976563,0.17435401489431102,3.7340722,-1205.3634856550025,0.0,0.0,-0.0,0.0
77,1,-1.3655070819352804,1.3640496354354057,0.0,5.505976802392937,0.01789283752441406,0.13376411149637282,3.7340722,-1812.3300177705046,0.0,0.0,-0.0,0.0
78,1,-1.3655070819352804,1.5740159499017818,0.0,5.639770778697567,0.009302139282226562,0.09644759863379991,3.7340722,-2878.9118686512593,0.0,0.0,-0.0,0.0
79,1,-1.3655070819352804,1.783982264368158,0.0,5.767051350298813,0.05239677429199219,0.2289034169513251,3.7340722,-1379.8828486304446,0.0,0.0,-0.0,0.0
80,1,-1.3655070819352804,1.9939485788345337,0.0,5.8881142782516305,0.2690792083740235,0.5187284534070051,3.7340722,-688.2027430338037,0.0,0.0,-0.0,0.0
81,1,-1.1552367022162988,-1.9954113960266113,0.0,4.382890695508026,0.0010662078857421875,0.032652838861915015,3.7340722,-2337.7778224364306,0.0,0.0,-0.0,0.0
82,1,-1.1552367022162988,-1.7854450815602352,0.0,4.211062532561501,0.0324859619140625,0.180238624922802,3.7340722,-353.38748384915255,0.0,0.0,-0.0,0.0
83,1,-1.1552367022162988,-1.5754787670938593,0.0,4.055967578722188,0.07309913635253906,0.2703685195294361,3.7340722,-199.7530364461058,0.0,0.0,-0.0,0.0
84,1,-1.1552367022162988,-1.365512452627483,0.0,3.9323688177400324,0.07564926147460936,0.2750441082346782,3.7340722,-171.9492849931554,0.0,0.0,-0.0,0.0
85,1,-1.1552367022162988,-1.1555461381611072,0.0,3.8565707642829277,0.04976654052734374,0.22308415570663853,3.7340722,-195.30202812296233,0.0,0.0,-0.0,0.0
86,1,-1.1552367022162988,-0.945579823694731,0.0,3.841062049065669,0.01861000061035156,0.13641847605933574,3.7340722,-314.03987241335267,0.0,0.0,-0.0,0.0
87,1,-1.1552367022162988,-0.7356135092283549,0.0,3.8887227202953225,0.0016613006591796877,0.04075905616154142,3.7340722,-1106.8553975960822,0.0,0.0,-0.0,0.0
88,1,-1.1552367022162988,-0.525647194761979,0.0,3.991317188961869,0.0033779144287109375,0.05811982818893168,3.7340722,-867.0373974191696,0.0,0.0,-0.0,0.0
89,1,-1.1552367022162988,-0.3156808802956028,0.0,4.133703542478628,0.010774612426757812,0.10380083056872817,3.7340722,-565.2609515151348,0.0,0.0,-0.0,0.0
90,1,-1.1552367022162988,-0.10571456582922667,0.0,4.299920275141013,0.011926651000976562,0.1092092074917521,3.7340722,-640.6039163412894,0.0,0.0,-0.0,0.0
