,0
0,3.8373663684809762
1,2.3549145604260233
2,2.0164868918663084
3,0.605824369169006
4,0.4884509551584
5,0.10227740397346498
6,-1.9757112815037174
7,-3.494154255931408
8,-1.6936060877846075
9,-1.900297647630275
10,-1.3443263853634009
11,-1.2860796159556696
12,-1.5007121178510028
13,-2.400985390328779
14,-2.4308760588573497
15,-2.421256318734581
16,-2.4506787246712074
17,-2.5006532030069635
18,-2.4907073250443905
19,-2.4533408681747333
20,-2.5678362870717026
21,-2.4704418051841213
22,-3.872882211353316
23,-2.424667360800454
24,-2.4795441860667307
25,-2.5481655685225237
26,-2.5730138845596504
27,-2.58303456374735
28,-2.5913729396709666
29,-2.593943529145272
30,-2.7224131046199065
31,-4.111586909394966
32,-3.947908184551051
33,-3.083990853257949
34,-3.0636703886039265
35,-3.0663665693010733
36,-3.079650500777735
37,-3.071508323656003
38,-3.0944615125896124
39,-3.08767642795205
40,-3.119515924745121
41,-3.058648451149735
42,-3.086959217647647
43,-3.071870153513803
44,-3.106851222898017
45,-3.0834721838345285
46,-3.1136370222017598
47,-3.070845330951284
48,-3.0465722323283217
49,-3.1640696364775605
50,-3.2510954744611302
51,-3.3223928833976664
52,-3.3078575519708178
53,-3.36844504062588
54,-3.308073794258939
55,-3.2798219194394473
56,-3.3253317977688557
57,-3.2604539498689173
58,-3.2054368691970496
59,-3.1947966504181853
60,-3.184631305224317
61,-3.180398333113451
62,-3.2095399176626507
63,-3.167369598213806
64,-3.152276381951183
65,-3.174882879687185
66,-3.1514763712545273
67,-3.17080412579158
68,-3.149813690260748
69,-3.1416660256875533
70,-3.158024416128843
71,-3.1346205474681375
72,-3.1489585001942437
73,-3.118464103069031
74,-3.1159485784113365
75,-3.128160607724636
76,-3.1099409862686556
77,-3.121023683689918
78,-3.0971750554798008
79,-3.089417347870383
80,-3.0989496815908812
81,-3.088029456440287
82,-3.097068961807173
83,-3.086931786396847
84,-3.095608313353426
85,-3.0783106050814757
86,-3.0864393101339043
87,-3.5471268569903396
88,-3.570024327112741
89,-3.549418078462987
90,-3.520475372715857
91,-3.5655544837708972
92,-3.4955979984657777
93,-3.4708054155511605
94,-3.5102668192150266
95,-3.4858270032804817
96,-3.5261270942044343
97,-3.4905812383536587
98,-3.5309798345825154
99,-3.466624187911827
