,Run Number,BO Iter,Best Error,Exploration Bias,Max EI,Theta Max EI,Min Obj,Min Obj Act,Theta Min Obj,Min Obj Cum.,Theta Min Obj Cum.,Time/Iter,EP Method Val,BO Method,Max Evals,Total Run Time,L2 Norm Theta
11,5,1,5.342818885287204,0.6666666666666666,0.0,[-1.19233144  1.25504201],0.8657502734158982,0.07874873136103946,[ 1.0622883  -0.96572155],0.07874873136103946,[ 1.0622883  -0.96572155],0.149519681930542,3,A1,2,0.299039363861084,0.07109742621297405
195,7,1,1.6757533948317938,1.0,0.0,[-0.12469795  1.84466338],1.3372547282159797,-1.1187951566135075,[ 0.90785676 -0.91567406],-1.1187951566135075,[ 0.90785676 -0.91567406],0.10756683349609375,1,B1,2,0.2151336669921875,0.12490492949218683
499,3,4,2.074581597670693e-06,2.0,1.7438897410576885e-06,[ 1.00017501 -0.99977195],1.2855531835202122e-07,7.459257451793691e-07,[ 1.00010418 -0.99986308],7.459257451793691e-07,[ 1.00010418 -0.99986308],1.7376413345336914,4,A2,5,8.688206672668457,0.00017204891567589048
3454,13,99,-20.83198585304479,0.5,4.253995569388099,[ 1.00000351 -0.99999527],-23.000060365385064,-21.056091603929552,[ 1.0000038 -0.9999959],-21.056091603929552,[ 1.0000038 -0.9999959],73.3869993686676,3,B2,100,7338.69993686676,5.591901786166155e-06
5301,1,1,5.342818885287204,1.1241043588012527,0.0,[-0.90236432  1.00990726],0.0005541471898916606,0.006628150836117866,[ 1.02569592 -0.99913653],0.006628150836117866,[ 1.02569592 -0.99913653],15.352817296981812,4,C2,2,30.705634593963623,0.02571041972178974
